YEAR,JOURNAL,TITLE,DOI
2009,Ecohydrology,Ecohydrology of dry regions of the United States: precipitation pulses and intra-seasonal drought,10.1002/eco.53
2009,Ecosystems,Estimating root production: comparison of 11 methods in shortgrass steppe and review of biases,10.1007/s10021-009-9295-8
2009,Journal of Animal Ecology,Evidence for the involvement of an alternate rodent host in the dynamics of introduced plague in prairie dogs,10.1111/j.1365-2656.2009.01541.x
2009,Journal of Applied Ecology,Introduced plague lessens the effects of an herbivorous rodent on grassland vegetation,10.1111/j.1365-2664.2009.01660.x
2009,Rangeland Ecology and Management,Livestock as ecosystem engineers for grassland bird habitat in the western Great Plains of North America,10.2111/08-008.1
2009,Rangeland Ecology and Management,Plant Interspaces Resulting From Contrasting Grazing Management in Northern Mixed-Grass Prairie: Implications for Ecosystem Function,10.2111/08-098
2009,Journal of Vegetation Science,Plant population and community responses to removal of dominant species in the shortgrass steppe,10.1111/j.1654-1103.2009.05556.x
2009,Rangeland Ecology and Management,Vegetation responses to prescribed burning of grazed shortgrass steppe,10.2111/08-135
2009,Oecologia,Wetting and drying cycles drive variations in the stable carbon isotope ratio of respired carbon dioxide in semi-arid grassland,10.1007/s00442-009-1302-4
2008,Ecology,"Global potential net primary production predicted from vegetation class, precipitation, and temperature",10.1890/07-0850.1
2008,Oecologia,Increasing precipitation event size increases aboveground net primary productivity in a semi-arid grassland.,10.1007/s00442-008-1116-9
2008,Global Change Biology,Infra-red heater arrays for warming ecosystem field plots,10.1111/j.1365-2486.2007.01486.x
2008,Oecologia,Interactive disturbance effects of two disparate ecosystem engineers in North American shortgrass steppe,10.1007/s00442-008-1068-0
2008,Ecology Letters,A landscape theory for food web architecture,10.1111/j.1461-0248.2008.01193.x
2008,Ecology,Resources from another place and time: Responses to pulses in a spatially subsidized system,10.1890/07-0234.1
2008,Global Change Biology,Sensitivity of organic matter decomposition to warming varies with its quality,10.1111/j.1365-2486.2008.01541.x
2007,Ecological Research,Appropriate discounting leads to forward-looking ecosystem management,10.1007/s11284-006-0072-2
2007,Rangeland Ecology and Management,Blackland tallgrass prairie vegetation dynamics following cessation of herbicide application,10.2111/05-097R4.1
2007,Journal of Soil and Water Conservation,Carbon sequestration and rangelands: a synthesis of land management and precipitation effects,
2007,Ecology Letters,Diversity-stability relationship varies with latitude in zooplankton,10.1111/j.1461-0248.2006.01009.x
2007,Oikos,Global patterns of aquatic food chain length,10.1111/j.0030-1299.2007.16036.x
2007,Frontiers in Ecology and the Environment,A grassroots approach to sensor and science networks,10.1890/1540-9295(2007)5[343:AGATSA]2.0.CO;2
2007,Rangeland Ecology and Management,Grazing-induced modifications to peak standing crop in northern mixed-grass prairie,10.2111/1551-5028(2007)60[270:GMTPSC]2.0.CO;2
2007,Freshwater Biology,Intensive trapping and increased fish predation cause massive population decline of an invasive crayfish,10.1111/j.1365-2427.2007.01741.x
2007,Ecological Applications,Life-Cycle Assessment of Net Greenhouse-Gas Flux for Bioenergy Cropping Systems,10.1890/05-2018
2007,Ecological Modelling,Linking terrestrial and aquatic ecosystems: the role of woody habitat in lake food webs,10.1016/j.ecolmodel.2006.12.005
2007,Western North American Naturalist,Livestock and vegetation responses to rotational grazing in short-grass steppe,10.3398/1527-0904(2007)67[359:LAVRTR]2.0.CO;2
2007,Global Change Biology,Plant trait responses to grazing - a global synthesis,10.1111/j.1365-2486.2006.01288.x
2007,Rangeland Ecology and Management,The potential for horses to disperse alien plants along recreational trails,10.2111/06-102R1.1
2007,Ecosystems,"Reciprocal relationships between exotic rusty crayfish, macrophytes and Lepomis  species in northern Wisconsin lakes",10.1007/s10021-006-9004-9
2007,Ecology Letters,Separating the determinants of phylogenetic community structure,10.1111/j.1461-0248.2007.01083.x
2007,Freshwater Biology,Small lakes dominate a random sample of regional lake characteristics,10.1111/j.1365-2427.2007.01730.x
2007,ISME Journal,Synchrony in aquatic microbial community dynamics,10.1038/ismej.2007.6
2006,Ecology,Adding infection to injury: synergistic effects of predation and parasitism on amphibian malformations,10.1890/0012-9658(2006)87[2227:AITISE]2.0.CO;2
2006,Frontiers in Ecology and the Environment,Are livestock weight gains affected by black-tailed prairie dogs?,10.1890/1540-9295(2006)4[459:ALWGAB]2.0.CO;2
2006,Freshwater Biology,"Chytrid infections of Daphnia pulicaria : development, ecology, pathology, and phylogeny of Polycaryum laeve",10.1111/j.1365-2427.2006.01517.x
2006,Journal of Vegetation Science,"Controls over invasion of Bromus tectorum: The importance of climate, soil, disturbance, and seed availability",10.1658/1100-9233(2006)17[693:COIOBT]2.0.CO;2
2006,Ecology,Detection of scale-specific community dynamics using wavelets,10.1890/0012-9658(2006)87[2895:DOSCDU]2.0.CO;2
2006,Ecology,Dining on disease : How interactions between infection and environment affect predation risk,10.1890/0012-9658(2006)87[1973:DODHIB]2.0.CO;2
