rank,year,title,keyword,author.no,affl.no,max_dist(m)
1,2017,The database of the PREDICTS (Projecting Responses of Ecological Diversity In Changing Terrestrial Systems) project,data sharing; global biodiversity modeling; global change; habitat destruction; land use,517,502,19944808.6695492
2,2017,A multi-species synthesis of physiological mechanisms in drought-induced tree mortality,NA,62,56,19891650.0820752
3,2014,The PREDICTS database: a global database of how local terrestrial biodiversity responds to human impacts,Data sharing; Global change; Habitat destruction; Land use,243,245,19789309.3432076
4,2015,CTFS-ForestGEO: a worldwide network monitoring forests in an era of global change,Biodiversity; Center for Tropical Forest Science (CTFS); Climate change; Demography; Forest dynamics plot; Forest Global Earth Observatory (ForestGEO); Long-term monitoring; Spatial analysis,108,78,19741564.9436955
5,2018,Climate sensitive size-dependent survival in tropical trees,NA,43,32,19741564.9436955
6,2018,Global importance of large-diameter trees,forest biomass; forest structure; large-diameter trees; latitudinal gradient; resource inequality; Smithsonian ForestGEO,98,66,19741564.9436955
7,2006,Comparing tropical forest tree size distributions with the predictions of metabolic ecology and equilibrium models,Demographic rates; Forest structure; Large-scale disturbance; Metabolic theory of ecology; Old-growth forests; Tree diameter distributions,44,35,19741564.9436955
8,2015,Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites,Determinants of plant community diversity and structure; Functional traits; Life-history evolution; Phylogeny; Pioneer species; Precipitation gradient; Tropical dry forest; Tropical wet forest,56,34,19693882.3922113
9,2017,A global method for calculating plant CSR ecological strategies applied across biomes world-wide,community assembly; comparative ecology; Grime's CSR triangle; plant economics spectrum; plant functional type; survival strategy; universal adaptive strategy theory,41,31,19664864.1391312
10,2018,BioTIME: A database of biodiversity time series for the Anthropocene,biodiversity; global; spatial; species richness; temporal; turnover,100,87,19628212.1664482
11,2017,"Climate, soil and plant functional types as drivers of global fine-root trait variation",climate; database; fine roots; functional biogeography; functional traits; N2-fixation; phylogeny; plant growth form; plant resource economics; soil properties,28,24,19592962.3743944
12,2006,Effects of nutrient additions on ecosystem carbon cycle in a Puerto Rican tropical wet forest,Decomposition; Forest floor mass; Litterfall; Long-term carbon; Microbial biomass; Soil carbon,3,4,19577278.8380647
13,2018,Ambient changes exceed treatment effects on plant species abundance in global change experiments,elevated CO  2; nitrogen; phosphorus; plant community; warming; water,19,14,19544895.3753593
14,2015,Diversity enhances carbon storage in tropical forests,Biodiversity; Biomass; Ecosystem functioning; Neotropics; Rainfall; REDD+; Scale; Soil; Tropical forest,64,38,19512152.8713104
15,2017,Biodiversity and climate determine the functioning of Neotropical forests,biodiversity; biomass; carbon; ecosystem functioning; forest dynamics; productivity; soil fertility; tropical forest; water,27,19,19509290.1171556
16,2014,Local spatial structure of forest biomass and its consequences for remote sensing of carbon stocks,NA,67,45,19500143.5554663
17,2015,Leaf-litter breakdown in tropical streams: is variability the norm?,Decomposition; Microorganisms; Shredders; Tropical streams; Variability,21,24,19428003.1215157
18,2018,Change in dominance determines herbivore effects on plant biodiversity,NA,82,65,19417099.0507652
19,2018,Partitioning assimilatory nitrogen uptake in streams: an analysis of stable isotope tracer additions across continents,15N; ammonium; assimilation; nitrogen; riparian canopy cover; stable isotopes; storage; stream; uptake,22,22,19266345.5147839
20,2017,Drivers of nitrogen transfer in stream food webs across continents,15N; food chain efficiency; food webs; isotope tracer experiment; nitrogen; stream,25,25,19266345.5147839
21,2014,"Managing the whole landscape: Historical, hybrid, and novel ecosystems",NA,29,22,19263695.3488321
22,2017,The role of functional uniqueness and spatial aggregation in explaining rarity in trees,functional diversity; functional traits; species relative abundance; temperate forests; tree diversity; tropical forests,19,14,19261457.4614265
23,2018,Ideas and perspectives: Strengthening the biogeosciences in environmental research networks,NA,30,23,19232638.6810156
24,2014,Which is a better predictor of plant traits: temperature or precipitation?,Climate; Compound leaves; Dispersal syndrome; Functional traits; Leaf life span; Nitrogen fixation; Photosynthetic pathway; Plant height; Plant life span; Seed mass; Specific leaf area; Spinescence,49,39,19188149.2944838
25,2014,You are not always what we think you eat: selective assimilation across multiple whole-stream isotopic tracer studies,15N; Consumer; Food resources; Food web; Label mismatch; Nitrogen cycling; Stable isotope tracer addition,22,19,19141185.838772
26,2016,Spatial patterns of self-recruitment of a coral reef fish in relation to island-scale retention mechanisms.,connectivity; coral reef fish; oceanography; parentage analysis; retention; self-recruitment; tropical island,5,5,19094996.3875306
27,2017,Increased productivity in wet years drives a decline in ecosystem stability with nitrogen additions in arid grasslands,arid grassland ecosystem; community stability; diversity; eutrophication; fluctuating limiting resource; mechanism; productivity; species composition,4,2,19089948.7640098
28,1991,"The effect of Hurricane Hugo on bird populations in the Luquillo Experimental Forest, Puerto Rico",NA,1,1,19056159.2975665
29,2013,Multispecies coexistence of trees in tropical forests: spatial signals of topographic niche differentiation increase with environmental heterogeneity,Cross-pair overlap distribution; Neutral theory; Niche differentiation; Spatial pattern; Species coexistence; Tropical forest,32,21,19040021.0496169
30,1999,Responses of tundra plants to experimental warming: meta-analysis of the international tundra experiment,Arctic tundra; Experimental warming; Global change; Global warming; International Tundra Experiment; ITEX; Meta-analysis; Plant response patterns; Spatiotemporal gradients; Tundra plants,29,21,19002116.7416733
31,2008,Modelled effects of precipitation on ecosystem carbon and water dynamics in different climatic zones,Climate change; DGVM; Drought; Ecosystem modelling; NPP; Precipitation; Soil respiration; Water limitation; Water stress,16,13,19002116.7416733
32,2008,"Modeled interactive effects of precipitation, temperature, and CO2 on ecosystem carbon and water dynamics in different climatic zones",Climate change; Heterotrophic respiration; Net ecosystem production; Net primary production; Run off; Transpiration,17,13,19002116.7416733
33,2014,Circumpolar assessment of permafrost C quality and its vulnerability over time using long-term incubation data,Alaska; Boreal forest; C decomposition; Climate change; Siberia; Soil organic carbon; Tundra,9,8,19002116.7416733
34,2007,Global negative vegetation feedback to climate warming responses of leaf litter decomposition rates in cold biomes,Alpine; Carbon; Circum-arctic; Global change; Growth form; Litter turnover; Mass loss; Vegetation change,50,29,19002116.7416733
35,2004,Nitrogen uptake by arctic soil microbes and plants in relation to soil nitrogen supply,13C-15N-amino acids; 15NH4 +; 15NO 3 -; Arctic vegetation; Metabolism; Nitrogen uptake; Soil pH,3,3,19002116.7416733
36,1999,Within-stand nutrient cycling in arctic and boreal wetlands,"Arctic; Boreal; Decomposition; Leaf longevity; Microbial nutrient immobilization; Mycorrhiza; Nutrient cycling, within-stand and ecosystem; Nutrient resorption and storage; Nutrient turnover; Soil nutrient characteristics; Tissue longevity; Wetlands",2,2,19002116.7416733
37,1999,Responses of tundra plants to experimental warming: Meta-analysis of the international tundra experiment,Arctic tundra; Experimental warming; Global change; Global warming; International Tundra Experiment; ITEX; Meta-analysis; Plant response patterns; Spatiotemporal gradients; Tundra plants,29,21,19002116.7416733
38,2018,Tundra Trait Team: A database of plant traits spanning the tundra biome,alpine; Arctic; plant functional traits; tundra,100,71,18954517.655364
39,2011,Global distribution of a key trophic guild contrasts with common latitudinal diversity patterns,Global distribution pattern; Latitudinal diversity gradient; Leaf litter quality; Shredder detritivores; Stream ecosystems,27,26,18944990.707341
40,2005,Comparing soil organic carbon dynamics in plantation and secondary forest in wet tropics in Puerto Rico,Decomposition; Litterfall; Long-term carbon; Microbial biomass; Soil carbon; Soil respiration,5,5,18899533.9890863
41,2007,"Fertilization responses of soil litter fauna and litter quantity, quality, and turnover in low and high elevation forests of Puerto Rico",Invertebrates; Litter production; Luquillo Experimental Forest; Soil arthropods,3,2,18899533.9890863
42,2014,Evaluating the efficiency of environmental monitoring programs,Biomass; Lakes; Long-term; Loons; Monitoring; Streams; Uncertainty,8,7,18813093.4615908
43,2011,TRY - a global database of plant traits,Comparative ecology; Database; Environmental gradient; Functional diversity; Global analysis; Global change; Interspecific variation; Intraspecific variation; Plant attribute; Plant functional type; Plant trait; Vegetation model,135,93,18800856.3782815
44,2012,Sinks for nitrogen inputs in terrestrial ecosystems: A meta-analysis of 15-N tracer field studies,Atmospheric nitrogen deposition; Carbon storage; Data synthesis; Meta-analysis; Nitrogen retention and loss; Stable isotopes,30,26,18792032.3501281
45,2017,Asymmetric responses of primary productivity to precipitation extremes: A synthesis of grassland precipitation manipulation experiments,aboveground net primary productivity; belowground net primary productivity; biomass allocation; climate change; grasslands; meta-analysis; root biomass,27,20,18782328.814897
46,2018,Habitat filtering determines the functional niche occupancy of plant communities worldwide,community assembly; determinants of plant community diversity and structure; habitat filtering; intraspecific trait variability; limiting similarity; niche occupancy; species richness,30,30,18759595.9598252
47,2017,Isolation predicts compositional change after discrete disturbances in a global meta-study,NA,17,17,18759595.9598252
48,2005,Modulation of leaf economic traits and trait relationships by climate,Irradiance; Leaf life span; Leaf mass per area; Nitrogen; Photosynthesis; Plant strategies; Rainfall; Temperature,14,15,18743567.7695656
49,2012,Long-term warming alters the composition of Arctic soil microbial communities,Arctic; Bacteria; Climate change; Fungi; RRNA genes; Soil microorganism,4,6,18725706.7259805
50,2015,Contemplating the future: Acting now on long-term monitoring to answer 2050's questions,Ecosystem-specific monitoring; Environmental accounting; Environmental management; Network of monitoring sites,20,15,18705703.8682181
51,2014,Herbarium specimens reveal a historical shift in phylogeographic structure of common ragweed during native range disturbance,contemporary evolution; hybridization; invasive species; landscape genetics; phylogeography; population genetics - empirical,6,3,18693311.683195
52,2013,Predicting invasion in grassland ecosystems: is exotic dominance the real embarrassment of richness?,NA,73,52,18692634.5037319
53,2013,Different Fire Frequency Impacts Over 27 Years on Vegetation Succession in an Infertile Old-Field Grassland,fire frequency; grassland; legumes; Lespedeza capitata; old field; Poa pratensis; Schizachyrium scoparium; species richness; succession,3,3,18692634.5037319
54,2018,"Effects of elevated CO2, increased nitrogen deposition, and plant diversity on aboveground litter and root decomposition",biodiversity; decomposition rate; direct or indirect effect; global change; nitrogen addition; tissue quality,2,2,18692634.5037319
55,2014,"Understory fern community structure, growth and spore production responses to a large-scale hurricane experiment in a Puerto Rico rainforest",Canopy litter; Cyathea borinquena; Ecological resilience; Invasive pioneer fern; Thelypteris deltoidea; Tropical understory light,2,3,18647124.8003256
56,2007,Global diversity and distribution of macrofungi,Ascomycetes; Basidiomycetes; Biodiversity; Biogeography; Endemism; Species lists,19,19,18634939.2164963
57,2014,Simulating 2368 temperate lakes reveals weak coherence in stratification phenology,Climate change; Coherence; Lake temperature modeling; Limnology; Stratification; Water temperature,7,6,18625293.8565234
